universe,symbol,action,announced_on,effective_on,source_url
TW50,6919,add,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TW50,2059,add,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TW50,6446,remove,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TW50,1101,remove,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,8210,add,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,2645,add,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,6442,add,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,6805,add,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,6446,add,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,1802,add,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,1101,add,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,6919,remove,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,3035,remove,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,9921,remove,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,1210,remove,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,6592,remove,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,2059,remove,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
TWMC100,1907,remove,2025-09-05,2025-09-22,https://taiwanindex.com.tw/news/382
