universe,symbol,action,announced_on,effective_on,source_url
TW50,2383,add,2025-06-06,2025-06-23,https://taiwanindex.com.tw/news/362
TW50,3037,remove,2025-06-06,2025-06-23,https://taiwanindex.com.tw/news/362
TWMC100,1210,add,2025-06-06,2025-06-23,https://taiwanindex.com.tw/news/362
TWMC100,6139,add,2025-06-06,2025-06-23,https://taiwanindex.com.tw/news/362
TWMC100,3037,add,2025-06-06,2025-06-23,https://taiwanindex.com.tw/news/362
TWMC100,2383,remove,2025-06-06,2025-06-23,https://taiwanindex.com.tw/news/362
TWMC100,1802,remove,2025-06-06,2025-06-23,https://taiwanindex.com.tw/news/362
TWMC100,2201,remove,2025-06-06,2025-06-23,https://taiwanindex.com.tw/news/362
