universe,symbol,action,announced_on,effective_on,source_url
TW50,2615,add,2025-03-07,2025-03-24,https://taiwanindex.com.tw/news/350
TW50,1326,remove,2025-03-07,2025-03-24,https://taiwanindex.com.tw/news/350
TWMC100,4583,add,2025-03-07,2025-03-24,https://taiwanindex.com.tw/news/350
TWMC100,1326,add,2025-03-07,2025-03-24,https://taiwanindex.com.tw/news/350
TWMC100,2258,add,2025-03-07,2025-03-24,https://taiwanindex.com.tw/news/350
TWMC100,2204,remove,2025-03-07,2025-03-24,https://taiwanindex.com.tw/news/350
TWMC100,2388,remove,2025-03-07,2025-03-24,https://taiwanindex.com.tw/news/350
TWMC100,2615,remove,2025-03-07,2025-03-24,https://taiwanindex.com.tw/news/350
